codmun6;estabelecimentomunicipio-jul2023;total-estab-2023;atencao-primaria;atencao-secundaria;atencao-terciaria;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;CONSULTORIO ISOLADO;UNIDADE MOVEL FLUVIAL;UNIDADE MOVEL TERRESTRE;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;POLO ACADEMIA DA SAUDE;TELESSAUDE;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;CENTRO DE IMUNIZACAO;POLICLINICA;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRO DE ATENCAO PSICOSSOCIAL;PRONTO ATENDIMENTO;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;CENTRAL DE ABASTECIMENTO;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL
312820;312820 GUARACIABA;12;7;3;2;-;5;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
312825;312825 GUARACIAMA;5;4;0;1;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
312830;312830 GUARANESIA;35;23;10;2;-;10;10;-;-;2;1;-;-;-;-;-;-;-;-;1;-;5;3;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
312840;312840 GUARANI;12;7;4;1;-;3;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
312850;312850 GUARARA;8;6;1;1;2;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
312860;312860 GUARDA-MOR;14;11;1;2;-;3;4;-;-;1;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
312870;312870 GUAXUPE;237;178;53;6;2;10;156;-;1;8;1;-;-;-;-;-;-;4;-;-;-;31;17;-;-;-;1;-;-;-;-;-;-;2;-;2;-;1;-;-;1;-
312880;312880 GUIDOVAL;16;10;5;1;-;3;5;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
312890;312890 GUIMARANIA;17;13;3;1;-;5;2;-;-;3;2;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
312900;312900 GUIRICEMA;10;6;3;1;-;2;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
312910;312910 GURINHATA;9;5;1;3;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
312920;312920 HELIODORA;10;7;2;1;-;3;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
312930;312930 IAPU;9;3;5;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-
312940;312940 IBERTIOGA;12;6;2;4;-;1;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;1;-
312950;312950 IBIA;86;74;10;2;1;7;64;-;-;1;1;-;-;-;-;-;-;1;-;-;-;3;5;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
312960;312960 IBIAI;15;10;3;2;1;5;-;-;-;1;1;-;-;2;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
312965;312965 IBIRACATU;7;6;0;1;-;4;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
312970;312970 IBIRACI;20;11;7;2;-;6;4;-;-;1;-;-;-;-;-;-;-;1;-;-;-;3;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
312980;312980 IBIRITE;85;56;27;2;-;27;20;-;-;8;1;-;-;-;-;-;-;-;-;-;-;16;6;-;-;-;4;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-
312990;312990 IBITIURA DE MINAS;5;4;0;1;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313000;313000 IBITURUNA;4;2;1;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-
313005;313005 ICARAI DE MINAS;12;10;1;1;-;7;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313010;313010 IGARAPE;51;29;21;1;-;10;17;-;-;-;1;1;-;-;-;-;-;-;-;-;-;10;8;-;-;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313020;313020 IGARATINGA;11;8;2;1;-;7;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313030;313030 IGUATAMA;13;8;3;2;-;4;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
313040;313040 IJACI;16;14;1;1;1;4;4;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313050;313050 ILICINEA;21;12;7;2;-;6;4;-;-;1;-;-;-;1;-;-;-;-;-;1;-;3;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
313055;313055 IMBE DE MINAS;6;5;0;1;-;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313060;313060 INCONFIDENTES;5;4;0;1;-;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313065;313065 INDAIABIRA;15;14;0;1;2;5;2;-;1;1;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313070;313070 INDIANOPOLIS;7;6;0;1;1;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313080;313080 INGAI;4;3;0;1;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313090;313090 INHAPIM;48;21;25;2;1;11;6;-;-;1;2;-;-;-;-;-;-;1;-;-;-;9;13;-;-;-;2;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
313100;313100 INHAUMA;10;6;3;1;-;2;-;-;-;2;1;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313110;313110 INIMUTABA;9;7;1;1;-;3;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313115;313115 IPABA;17;10;6;1;4;3;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313120;313120 IPANEMA;46;26;16;4;3;5;17;-;-;-;-;-;-;1;-;-;-;1;-;-;-;4;9;-;-;-;2;-;-;-;-;-;-;2;-;1;-;1;-;-;-;-
313130;313130 IPATINGA;697;484;200;13;3;23;435;-;-;14;3;-;-;3;-;-;3;9;-;-;-;156;27;-;-;2;2;1;1;-;-;1;1;2;-;4;-;3;-;1;3;-
313140;313140 IPIACU;6;4;1;1;-;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313150;313150 IPUIUNA;26;17;7;2;3;1;11;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2;5;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
313160;313160 IRAI DE MINAS;8;4;2;2;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
313170;313170 ITABIRA;691;598;85;8;-;25;556;-;-;16;-;-;-;-;-;1;-;6;-;1;-;23;45;-;-;1;3;-;3;-;-;1;2;2;-;3;-;2;-;1;-;-
313180;313180 ITABIRINHA;14;8;4;2;-;5;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-
313190;313190 ITABIRITO;148;117;28;3;4;9;93;-;-;10;1;-;-;-;-;-;-;1;-;-;-;18;5;1;-;-;2;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-
313200;313200 ITACAMBIRA;11;9;0;2;6;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
313210;313210 ITACARAMBI;28;15;10;3;4;5;2;-;-;2;1;-;1;-;-;-;-;-;-;-;-;4;4;-;-;-;1;-;-;-;-;1;-;1;-;1;-;1;-;-;-;-
313220;313220 ITAGUARA;28;13;12;3;-;6;5;-;-;2;-;-;-;-;-;-;-;2;-;-;-;6;3;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
313230;313230 ITAIPE;10;5;3;2;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
313240;313240 ITAJUBA;507;406;95;6;-;23;373;-;-;5;3;-;-;-;-;2;-;2;-;-;-;20;62;1;-;1;2;1;5;-;-;-;1;2;-;2;-;1;-;-;1;-
313250;313250 ITAMARANDIBA;65;52;9;4;10;14;23;-;-;2;2;-;-;-;-;1;-;2;-;-;-;3;3;-;-;-;1;-;-;-;-;-;-;2;-;1;-;1;-;-;-;-
313260;313260 ITAMARATI DE MINAS;11;8;2;1;-;3;2;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313270;313270 ITAMBACURI;37;30;3;4;1;12;15;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;2;-;1;-;1;-;-;-;-
313280;313280 ITAMBE DO MATO DENTRO;3;2;0;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313290;313290 ITAMOGI;19;13;4;2;-;5;5;-;-;1;2;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
313300;313300 ITAMONTE;35;23;10;2;-;7;12;-;-;1;-;1;-;-;-;2;-;-;-;-;-;5;3;-;-;-;1;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-
313310;313310 ITANHANDU;93;76;15;2;4;5;63;-;-;4;-;-;-;-;-;-;-;3;-;-;-;6;3;-;-;1;1;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-
313320;313320 ITANHOMI;19;12;4;3;3;3;2;-;-;2;1;-;-;1;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
313330;313330 ITAOBIM;46;31;11;4;1;11;16;-;-;1;1;-;-;1;-;-;-;-;-;-;-;4;4;-;-;-;3;-;-;-;-;-;-;1;-;2;-;1;-;-;-;-
313340;313340 ITAPAGIPE;36;25;10;1;-;5;15;-;-;1;2;-;-;1;-;-;1;-;-;-;-;5;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313350;313350 ITAPECERICA;49;30;16;3;-;11;17;-;-;1;-;-;1;-;-;-;-;1;-;1;-;9;5;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
313360;313360 ITAPEVA;15;12;2;1;-;4;5;-;-;1;1;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313370;313370 ITATIAIUCU;19;12;6;1;-;7;4;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-
313375;313375 ITAU DE MINAS;47;32;13;2;1;7;20;-;-;1;2;-;-;1;-;-;-;-;-;1;-;7;2;-;-;-;-;-;-;-;-;3;-;1;-;-;-;1;-;-;-;-
313380;313380 ITAUNA;420;372;44;4;1;22;339;-;1;4;1;-;-;-;-;1;3;-;-;-;-;10;22;1;-;1;3;1;6;-;-;-;-;1;-;2;-;1;-;-;-;-
313390;313390 ITAVERAVA;9;6;2;1;-;2;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313400;313400 ITINGA;19;13;5;1;1;4;3;-;1;4;-;-;-;-;-;-;-;1;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313410;313410 ITUETA;8;4;3;1;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313420;313420 ITUIUTABA;313;235;65;13;3;16;206;-;1;5;1;-;-;-;-;3;-;1;-;1;-;42;18;-;-;-;1;-;-;-;-;-;2;4;2;3;-;3;1;-;-;-
313430;313430 ITUMIRIM;9;8;0;1;2;2;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313440;313440 ITURAMA;112;62;46;4;-;8;51;-;-;1;2;-;-;-;-;-;-;2;-;-;-;32;8;1;-;-;1;1;-;-;-;-;1;2;-;-;-;1;-;-;1;-
313450;313450 ITUTINGA;7;5;1;1;1;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313460;313460 JABOTICATUBAS;33;22;9;2;1;5;12;-;-;1;1;-;-;1;-;1;-;1;-;-;-;4;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
313470;313470 JACINTO;22;14;5;3;1;6;1;-;-;4;1;-;-;1;-;-;-;-;-;-;-;3;1;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
313480;313480 JACUI;16;12;2;2;-;3;7;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
313490;313490 JACUTINGA;29;17;10;2;2;6;6;-;-;1;2;-;-;-;-;-;-;-;-;1;-;6;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
313500;313500 JAGUARACU;6;3;2;1;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313505;313505 JAIBA;45;21;21;3;-;12;6;-;-;2;1;-;-;-;-;-;-;-;-;-;-;13;7;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
313507;313507 JAMPRUCA;3;2;0;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313510;313510 JANAUBA;137;47;82;8;1;14;28;-;-;3;-;-;-;1;-;-;-;-;-;-;-;59;18;-;-;1;4;-;-;-;-;-;-;4;-;3;-;1;-;-;-;-
313520;313520 JANUARIA;139;73;59;7;-;25;41;-;-;3;3;-;-;-;-;-;1;-;-;-;-;47;10;-;-;-;1;-;-;-;-;-;1;1;-;2;-;3;-;-;1;-
313530;313530 JAPARAIBA;13;9;3;1;-;2;5;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-
313535;313535 JAPONVAR;18;13;4;1;2;7;-;-;-;1;1;1;-;1;-;-;-;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313540;313540 JECEABA;13;7;4;2;2;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-
313545;313545 JENIPAPO DE MINAS;10;7;2;1;-;4;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-
313550;313550 JEQUERI;27;19;6;2;1;7;7;-;-;1;2;-;-;1;-;-;-;-;-;-;-;1;4;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
313560;313560 JEQUITAI;16;9;5;2;1;5;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
313570;313570 JEQUITIBA;10;7;2;1;-;3;-;-;-;2;1;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313580;313580 JEQUITINHONHA;42;30;9;3;2;10;13;-;1;1;1;-;-;1;-;1;-;-;-;-;-;4;3;-;-;-;2;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
313590;313590 JESUANIA;6;4;1;1;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313600;313600 JOAIMA;20;14;3;3;1;7;1;-;-;2;1;-;-;2;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
313610;313610 JOANESIA;5;3;1;1;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313620;313620 JOAO MONLEVADE;375;218;155;2;-;12;200;-;2;1;1;-;-;-;-;-;2;1;-;-;-;128;22;-;-;1;1;-;1;-;-;-;1;1;-;-;-;1;-;-;-;-
313630;313630 JOAO PINHEIRO;98;67;26;5;10;15;28;-;1;4;2;-;-;7;-;-;-;2;-;-;-;17;5;-;-;-;1;1;-;-;-;-;-;2;-;2;-;1;-;-;-;-
313640;313640 JOAQUIM FELICIO;10;9;0;1;-;4;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313650;313650 JORDANIA;22;18;2;2;-;6;7;-;-;4;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
313652;313652 JOSE GONCALVES DE MINAS;9;6;1;2;1;2;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-
313655;313655 JOSE RAYDAN;6;4;1;1;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313657;313657 JOSENOPOLIS;5;4;0;1;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313660;313660 NOVA UNIAO;6;4;1;1;-;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313665;313665 JUATUBA;66;49;15;2;1;13;26;-;-;8;1;-;-;-;-;-;-;-;-;-;-;8;4;-;-;-;-;1;1;-;-;-;1;-;-;-;-;1;-;-;1;-
313670;313670 JUIZ DE FORA;1797;1172;587;38;11;57;997;-;-;101;3;-;-;-;-;2;1;119;2;-;2;275;152;2;-;11;5;3;4;2;-;2;8;14;2;13;-;4;2;1;2;-
313680;313680 JURAMENTO;7;5;1;1;1;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313690;313690 JURUAIA;28;19;6;3;-;6;9;-;-;1;1;-;-;2;-;-;-;3;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;1;-
313695;313695 JUVENILIA;6;5;0;1;-;3;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313700;313700 LADAINHA;21;10;8;3;-;4;2;-;1;1;-;-;1;1;-;-;-;1;-;-;-;-;5;-;-;-;1;-;1;-;-;-;-;1;-;1;-;1;-;-;-;-
313710;313710 LAGAMAR;19;14;4;1;1;4;5;-;-;2;2;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313720;313720 LAGOA DA PRATA;130;94;32;4;1;15;68;-;-;9;1;-;-;-;-;-;-;-;-;-;-;17;12;-;-;-;1;1;1;-;-;-;-;1;-;2;-;1;-;-;-;-
313730;313730 LAGOA DOS PATOS;8;5;2;1;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313740;313740 LAGOA DOURADA;18;10;6;2;-;5;3;-;-;1;-;-;-;1;-;-;-;1;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
313750;313750 LAGOA FORMOSA;60;45;13;2;-;6;26;-;-;10;2;-;-;1;-;-;-;2;-;-;-;5;4;-;-;-;1;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-
313753;313753 LAGOA GRANDE;21;13;6;2;-;3;5;-;1;1;2;-;-;1;-;-;-;-;-;-;-;2;3;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-
313760;313760 LAGOA SANTA;159;90;66;3;-;19;67;-;-;3;1;-;-;-;-;-;-;3;-;-;-;45;12;-;-;1;3;1;-;-;-;-;1;2;-;-;-;1;-;-;-;-
313770;313770 LAJINHA;29;19;7;3;6;1;11;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;4;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
313780;313780 LAMBARI;49;29;16;4;5;3;20;-;-;1;-;-;-;-;-;-;-;-;-;1;-;4;7;-;-;-;1;-;2;-;-;1;-;1;-;2;-;1;-;-;-;-
313790;313790 LAMIM;4;2;0;2;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
313800;313800 LARANJAL;24;17;4;3;-;3;11;-;-;1;-;1;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;1;-;-;-;-;1;-;1;-;1;-;-;-;-
313810;313810 LASSANCE;17;12;4;1;6;4;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-
313820;313820 LAVRAS;626;405;213;8;5;20;369;-;-;10;1;-;-;-;-;-;-;-;-;1;-;53;150;-;-;4;2;-;1;-;-;-;2;2;-;2;-;1;2;-;1;-
313830;313830 LEANDRO FERREIRA;7;3;3;1;-;1;1;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-
313835;313835 LEME DO PRADO;9;5;3;1;-;2;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313840;313840 LEOPOLDINA;152;101;45;6;-;15;81;-;-;2;1;-;-;1;-;-;1;2;-;-;-;23;18;-;-;-;1;-;-;-;-;-;1;1;-;2;-;3;-;-;-;-
313850;313850 LIBERDADE;13;5;7;1;-;2;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;2;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-
313860;313860 LIMA DUARTE;36;22;10;4;-;6;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;2;-;-;-;1;-;-;-;-;-;-;1;-;2;-;1;-;-;-;-
313862;313862 LIMEIRA DO OESTE;21;8;12;1;-;3;2;-;-;1;1;-;-;1;-;-;-;6;-;-;-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313865;313865 LONTRA;16;10;5;1;-;6;-;-;-;1;2;-;-;1;-;-;-;-;-;-;-;2;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313867;313867 LUISBURGO;9;6;2;1;-;4;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313868;313868 LUISLANDIA;8;6;1;1;1;3;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
313870;313870 LUMINARIAS;9;7;0;2;-;3;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
313880;313880 LUZ;40;25;10;5;2;5;15;-;-;1;-;-;-;2;-;-;-;4;-;-;-;1;4;-;-;-;1;-;-;-;-;-;-;1;-;3;-;1;-;-;-;-
313890;313890 MACHACALIS;15;8;5;2;-;4;1;-;-;1;-;-;1;1;-;-;-;1;-;-;-;1;2;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
313900;313900 MACHADO;169;146;18;5;17;13;91;-;-;22;2;-;-;1;-;-;-;7;-;-;-;-;9;1;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;2;-
313910;313910 MADRE DE DEUS DE MINAS;7;4;1;2;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
