codmun6;estabelecimentomunicipio-jul2018;total-estab-2018;atencao-primaria;atencao-secundaria;atencao-terciaria;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;CONSULTORIO ISOLADO;UNIDADE MOVEL FLUVIAL;UNIDADE MOVEL TERRESTRE;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;POLO ACADEMIA DA SAUDE;TELESSAUDE;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;POLICLINICA;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRO DE ATENCAO PSICOSSOCIAL;PRONTO ATENDIMENTO;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL
352040;352040 ILHABELA;26;19;3;4;-;11;6;-;-;-;1;-;-;1;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;1;-;2;-;1;-;-;-;-
352042;352042 ILHA COMPRIDA;9;5;3;1;-;5;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-
352044;352044 ILHA SOLTEIRA;118;89;26;3;-;11;77;-;-;-;-;1;-;-;-;-;4;-;-;-;16;5;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-
352050;352050 INDAIATUBA;429;313;108;8;-;16;292;-;2;2;1;-;-;-;-;-;15;-;-;-;60;26;-;-;2;3;1;1;-;-;-;3;1;1;-;1;1;-;1;-
352060;352060 INDIANA;8;7;0;1;1;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
352070;352070 INDIAPORA;6;4;0;2;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
352080;352080 INUBIA PAULISTA;2;1;0;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
352090;352090 IPAUSSU;18;10;5;3;-;3;7;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-
352100;352100 IPERO;28;19;6;3;1;4;12;-;-;1;-;-;-;1;-;-;-;-;-;-;1;3;-;-;-;1;1;-;-;-;-;-;-;1;-;1;-;-;1;-
352110;352110 IPEUNA;8;4;1;3;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-
352115;352115 IPIGUA;3;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
352120;352120 IPORANGA;4;3;0;1;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
352130;352130 IPUA;33;26;5;2;-;6;20;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-
352140;352140 IRACEMAPOLIS;27;16;10;1;-;4;12;-;-;-;-;-;-;-;-;-;-;1;-;-;4;4;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-
352150;352150 IRAPUA;6;3;2;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
352160;352160 IRAPURU;9;8;0;1;-;4;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
352170;352170 ITABERA;19;11;5;3;3;6;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-
352180;352180 ITAI;35;25;7;3;-;7;16;-;-;2;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-
352190;352190 ITAJOBI;28;19;7;2;-;5;12;-;-;1;-;-;-;1;-;-;-;-;1;-;1;4;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-
352200;352200 ITAJU;2;1;0;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
352210;352210 ITANHAEM;71;30;28;13;-;10;18;-;-;1;-;-;-;1;-;-;5;-;-;-;14;5;-;-;-;3;1;-;-;-;-;1;1;7;-;1;1;1;1;-
352215;352215 ITAOCA;3;1;0;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-
352220;352220 ITAPECERICA DA SERRA;61;41;13;7;-;13;25;-;-;-;1;-;-;-;-;2;4;-;2;-;4;2;-;-;-;1;-;-;-;-;-;1;3;2;-;1;-;-;-;-
352230;352230 ITAPETININGA;377;320;46;11;2;26;290;-;-;1;1;-;-;-;-;-;5;-;-;-;25;13;-;-;-;3;-;-;-;-;-;2;-;4;-;2;-;1;1;1
352240;352240 ITAPEVA;247;193;48;6;1;25;161;-;-;2;1;-;-;-;-;3;18;-;1;-;18;8;-;-;1;1;1;-;-;-;-;1;-;2;-;1;-;1;1;-
352250;352250 ITAPEVI;97;53;33;11;-;15;35;-;-;1;2;-;-;-;-;-;7;-;4;-;15;4;-;-;-;3;-;-;-;-;-;2;-;6;-;1;-;1;1;-
352260;352260 ITAPIRA;140;108;24;8;-;13;94;-;-;-;-;-;-;1;-;-;5;-;-;-;9;8;-;-;-;2;-;-;-;-;-;2;2;2;-;1;-;-;1;-
352265;352265 ITAPIRAPUA PAULISTA;5;2;0;3;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-
