codmun6;estabelecimentomunicipio-jul2018;total-estab-2018;atencao-primaria;atencao-secundaria;atencao-terciaria;total-estab-2023;atencao-primaria;atencao-secundaria;atencao-terciaria;aumentototal;aumento-primaria;aumentosecundaria;aumento-terciaria
150797;150797 TERRA SANTA;13;9;2;2;17;9;6;2;31%;0%;200%;0%
150800;150800 TOME-ACU;27;17;6;4;37;21;12;4;37%;24%;100%;0%
150803;150803 TRACUATEUA;32;25;4;3;33;23;7;3;3%;-8%;75%;0%
150805;150805 TRAIRAO;16;12;2;2;15;11;2;2;-6%;-8%;0%;0%
150808;150808 TUCUMA;51;32;14;5;57;34;17;6;12%;6%;21%;20%
150810;150810 TUCURUI;98;53;32;13;100;52;35;13;2%;-2%;9%;0%
150812;150812 ULIANOPOLIS;28;21;3;4;36;27;5;4;29%;29%;67%;0%
150815;150815 URUARA;24;13;7;4;32;19;9;4;33%;46%;29%;0%
150820;150820 VIGIA;25;20;2;3;32;25;4;3;28%;25%;100%;0%
150830;150830 VISEU;30;22;4;4;37;28;5;4;23%;27%;25%;0%
150835;150835 VITORIA DO XINGU;22;14;4;4;32;22;6;4;45%;57%;50%;0%
150840;150840 XINGUARA;41;19;16;6;62;23;33;6;51%;21%;106%;0%
160005;160005 SERRA DO NAVIO;9;7;1;1;13;9;2;2;44%;29%;100%;100%
160010;160010 AMAPA;13;11;1;1;15;12;1;2;15%;9%;0%;100%
160015;160015 PEDRA BRANCA DO AMAPARI;13;11;1;1;24;19;3;2;85%;73%;200%;100%
160020;160020 CALCOENE;9;7;1;1;9;7;0;2;0%;0%;-100%;100%
160021;160021 CUTIAS;7;6;0;1;8;7;0;1;14%;17%;100%;0%
160023;160023 FERREIRA GOMES;12;9;2;1;14;11;1;2;17%;22%;-50%;100%
160025;160025 ITAUBAL;13;12;0;1;16;14;1;1;23%;17%;100%;0%
160027;160027 LARANJAL DO JARI;21;12;6;3;29;16;10;3;38%;33%;67%;0%
160030;160030 MACAPA;352;219;113;20;588;420;144;24;67%;92%;27%;20%
160040;160040 MAZAGAO;25;21;3;1;31;26;4;1;24%;24%;33%;0%
160050;160050 OIAPOQUE;29;24;2;3;34;26;5;3;17%;8%;150%;0%
160053;160053 PORTO GRANDE;16;12;2;2;24;15;7;2;50%;25%;250%;0%
160055;160055 PRACUUBA;8;7;0;1;8;7;0;1;0%;0%;100%;0%
160060;160060 SANTANA;52;34;15;3;87;63;20;4;67%;85%;33%;33%
160070;160070 TARTARUGALZINHO;20;16;2;2;27;22;3;2;35%;38%;50%;0%
160080;160080 VITORIA DO JARI;12;9;2;1;12;9;1;2;0%;0%;-50%;100%
170025;170025 ABREULANDIA;3;2;0;1;4;3;0;1;33%;50%;100%;0%
170030;170030 AGUIARNOPOLIS;6;5;0;1;6;5;0;1;0%;0%;100%;0%
170035;170035 ALIANCA DO TOCANTINS;7;4;2;1;6;4;1;1;-14%;0%;-50%;0%
170040;170040 ALMAS;5;2;2;1;6;3;2;1;20%;50%;0%;0%
170070;170070 ALVORADA;14;9;3;2;16;9;5;2;14%;0%;67%;0%
170100;170100 ANANAS;7;4;1;2;8;4;2;2;14%;0%;100%;0%
170105;170105 ANGICO;4;3;0;1;6;4;1;1;50%;33%;100%;0%
170110;170110 APARECIDA DO RIO NEGRO;5;3;1;1;4;2;1;1;-20%;-33%;0%;0%
170130;170130 ARAGOMINAS;6;5;0;1;6;5;0;1;0%;0%;100%;0%
170190;170190 ARAGUACEMA;6;4;0;2;6;4;0;2;0%;0%;100%;0%
170200;170200 ARAGUACU;12;8;2;2;11;8;1;2;-8%;0%;-50%;0%
170210;170210 ARAGUAINA;233;150;67;16;323;210;94;19;39%;40%;40%;19%
170215;170215 ARAGUANA;8;5;2;1;9;6;2;1;13%;20%;0%;0%
170220;170220 ARAGUATINS;23;14;7;2;31;20;9;2;35%;43%;29%;0%
170230;170230 ARAPOEMA;4;2;1;1;6;2;2;2;50%;0%;100%;100%
170240;170240 ARRAIAS;10;7;1;2;11;8;1;2;10%;14%;0%;0%
170255;170255 AUGUSTINOPOLIS;17;9;5;3;20;7;10;3;18%;-22%;100%;0%
170270;170270 AURORA DO TOCANTINS;3;2;0;1;4;3;0;1;33%;50%;100%;0%
170290;170290 AXIXA DO TOCANTINS;7;6;0;1;10;8;1;1;43%;33%;100%;0%
170300;170300 BABACULANDIA;9;8;0;1;10;9;0;1;11%;13%;100%;0%
170305;170305 BANDEIRANTES DO TOCANTINS;3;2;0;1;5;3;1;1;67%;50%;100%;0%
170307;170307 BARRA DO OURO;4;3;0;1;5;4;0;1;25%;33%;100%;0%
170310;170310 BARROLANDIA;6;4;1;1;7;4;2;1;17%;0%;100%;0%
170320;170320 BERNARDO SAYAO;2;2;0;0;3;2;0;1;50%;0%;100%;100%
170330;170330 BOM JESUS DO TOCANTINS;4;3;0;1;4;3;0;1;0%;0%;100%;0%
170360;170360 BRASILANDIA DO TOCANTINS;4;3;0;1;4;3;0;1;0%;0%;100%;0%
170370;170370 BREJINHO DE NAZARE;5;3;0;2;5;3;0;2;0%;0%;100%;0%
170380;170380 BURITI DO TOCANTINS;9;7;1;1;11;9;1;1;22%;29%;0%;0%
170382;170382 CACHOEIRINHA;3;2;0;1;4;3;0;1;33%;50%;100%;0%
170384;170384 CAMPOS LINDOS;2;2;0;0;3;3;0;0;50%;50%;0%;0%
170386;170386 CARIRI DO TOCANTINS;5;4;0;1;8;6;1;1;60%;50%;100%;0%
170388;170388 CARMOLANDIA;3;2;0;1;3;2;0;1;0%;0%;100%;0%
170389;170389 CARRASCO BONITO;7;6;0;1;7;6;0;1;0%;0%;100%;0%
170390;170390 CASEARA;4;2;1;1;5;3;1;1;25%;50%;0%;0%
170410;170410 CENTENARIO;2;1;0;1;2;1;0;1;0%;0%;100%;0%
170460;170460 CHAPADA DE AREIA;4;3;0;1;4;3;0;1;0%;0%;100%;0%
170510;170510 CHAPADA DA NATIVIDADE;4;3;0;1;5;4;0;1;25%;33%;100%;0%
