ID;codmun6num;municipnascanomalia;anomcong2014;anomcong2015;anomcong2016;anomcong2017;anomcong2018;anomcong2019;anomcong2020;anomcong2021;anomcong2022;anomcong2023
mun0147;140045;140045 PACARAIMA;8;1;3;3;5;7;7;10;9;15
mun0148;140047;140047 RORAINOPOLIS;2;-;6;1;2;2;2;4;8;4
mun0149;140050;140050 SAO JOAO DA BALIZA;3;1;-;1;-;-;-;1;4;1
mun0150;140060;140060 SAO LUIZ;-;-;-;-;2;1;2;-;-;-
mun0151;140070;140070 UIRAMUTA;1;6;1;6;6;6;7;5;2;9
mun0152;150010;150010 ABAETETUBA;16;15;9;15;16;7;14;11;17;29
mun0153;150013;150013 ABEL FIGUEIREDO;1;-;-;1;-;-;-;1;-;1
mun0154;150020;150020 ACARA;8;2;4;3;4;2;4;8;5;15
mun0155;150030;150030 AFUA;3;6;2;9;30;25;23;20;44;31
mun0156;150034;150034 AGUA AZUL DO NORTE;1;2;3;-;4;1;2;1;3;7
mun0157;150040;150040 ALENQUER;7;3;1;12;7;11;8;18;13;8
mun0158;150050;150050 ALMEIRIM;4;4;3;5;6;9;6;3;8;4
mun0159;150060;150060 ALTAMIRA;18;13;3;3;4;16;13;14;2;6
mun0160;150070;150070 ANAJAS;1;1;-;-;-;-;1;1;1;3
mun0161;150080;150080 ANANINDEUA;31;23;31;34;53;23;31;36;42;46
mun0162;150085;150085 ANAPU;3;2;1;-;1;2;2;2;1;1
mun0163;150090;150090 AUGUSTO CORREA;1;-;-;1;2;2;1;3;4;3
mun0164;150095;150095 AURORA DO PARA;2;-;2;2;2;2;3;2;2;5
mun0165;150100;150100 AVEIRO;2;-;2;1;2;2;-;1;-;-
mun0166;150110;150110 BAGRE;2;2;6;3;4;3;1;4;3;1
mun0167;150120;150120 BAIAO;1;1;1;2;2;-;-;2;1;2
mun0168;150125;150125 BANNACH;-;-;-;-;-;-;-;-;1;-
mun0169;150130;150130 BARCARENA;5;2;12;2;5;6;14;14;13;18
mun0170;150140;150140 BELEM;79;67;90;98;113;92;96;109;103;130
mun0171;150145;150145 BELTERRA;-;2;1;2;1;1;2;1;2;2
mun0172;150150;150150 BENEVIDES;3;4;3;5;4;8;8;2;6;5
mun0173;150157;150157 BOM JESUS DO TOCANTINS;1;2;2;-;2;-;2;-;2;-
mun0174;150160;150160 BONITO;1;-;-;-;-;2;-;1;-;2
mun0175;150170;150170 BRAGANCA;5;2;5;1;4;2;5;8;7;12
mun0176;150172;150172 BRASIL NOVO;4;2;1;1;4;1;1;1;-;3
mun0177;150175;150175 BREJO GRANDE DO ARAGUAIA;1;-;-;1;1;1;1;-;1;2
mun0178;150178;150178 BREU BRANCO;5;11;5;10;6;4;4;3;4;-
mun0179;150180;150180 BREVES;21;22;14;23;31;32;28;33;40;30
mun0180;150190;150190 BUJARU;5;2;1;2;3;1;3;1;2;4
mun0181;150195;150195 CACHOEIRA DO PIRIA;1;2;-;-;-;1;-;1;1;2
mun0182;150200;150200 CACHOEIRA DO ARARI;-;2;2;1;-;1;1;1;-;-
mun0183;150210;150210 CAMETA;10;18;13;17;20;16;15;17;9;12
mun0184;150215;150215 CANAA DOS CARAJAS;2;4;5;3;4;6;7;7;10;17
mun0185;150220;150220 CAPANEMA;-;3;-;3;3;5;2;4;4;4
mun0186;150230;150230 CAPITAO POCO;-;2;3;2;6;6;6;3;4;5
mun0187;150240;150240 CASTANHAL;16;12;13;17;21;22;17;18;20;20
mun0188;150250;150250 CHAVES;2;4;2;1;2;4;1;6;4;4
mun0189;150260;150260 COLARES;-;2;2;1;-;-;1;3;2;-
mun0190;150270;150270 CONCEICAO DO ARAGUAIA;5;5;10;5;5;4;8;2;7;3
mun0191;150275;150275 CONCORDIA DO PARA;4;1;1;3;2;-;2;1;4;5
mun0192;150276;150276 CUMARU DO NORTE;-;1;3;1;1;-;1;2;-;2
mun0193;150277;150277 CURIONOPOLIS;1;-;2;-;1;1;2;1;4;4
mun0194;150280;150280 CURRALINHO;2;8;3;1;-;8;4;3;4;5
mun0195;150285;150285 CURUA;2;2;1;1;2;-;4;1;3;-
mun0196;150290;150290 CURUCA;5;2;-;-;7;4;2;3;8;4
mun0197;150293;150293 DOM ELISEU;1;4;4;7;5;4;5;2;4;2
mun0198;150295;150295 ELDORADO DOS CARAJAS;1;2;6;4;1;-;3;2;1;5
mun0199;150300;150300 FARO;-;1;-;2;-;2;-;-;-;-
mun0200;150304;150304 FLORESTA DO ARAGUAIA;2;-;3;2;2;1;-;2;2;3
mun0201;150307;150307 GARRAFAO DO NORTE;1;2;-;2;4;-;1;3;3;4
mun0202;150309;150309 GOIANESIA DO PARA;2;2;1;-;1;4;3;3;5;3
mun0203;150310;150310 GURUPA;3;4;5;6;4;12;11;9;23;9
mun0204;150320;150320 IGARAPE-ACU;4;2;-;2;2;2;4;3;6;2
mun0205;150330;150330 IGARAPE-MIRI;5;5;3;2;5;5;9;5;9;11
mun0206;150340;150340 INHANGAPI;-;4;1;-;2;1;-;2;1;-
mun0207;150345;150345 IPIXUNA DO PARA;-;-;2;4;2;1;1;4;4;8
mun0208;150350;150350 IRITUIA;2;2;1;4;4;2;1;6;2;5
mun0209;150360;150360 ITAITUBA;1;2;8;16;15;11;19;11;15;18
mun0210;150370;150370 ITUPIRANGA;3;4;4;5;1;4;3;2;3;7
mun0211;150375;150375 JACAREACANGA;-;1;3;2;4;5;2;1;9;6
mun0212;150380;150380 JACUNDA;5;4;2;4;2;2;4;5;4;8
mun0213;150390;150390 JURUTI;8;6;9;6;6;14;5;8;6;3
mun0214;150400;150400 LIMOEIRO DO AJURU;3;2;1;-;1;5;3;1;3;3
mun0215;150405;150405 MAE DO RIO;6;5;2;3;2;5;-;4;8;4
mun0216;150410;150410 MAGALHAES BARATA;-;-;-;1;1;-;-;-;1;-
mun0217;150420;150420 MARABA;31;21;31;25;23;12;25;25;29;40
mun0218;150430;150430 MARACANA;-;2;-;-;6;2;1;2;4;2
mun0219;150440;150440 MARAPANIM;5;-;5;1;2;-;1;1;2;4
mun0220;150442;150442 MARITUBA;13;5;6;8;9;10;13;7;12;10
mun0221;150445;150445 MEDICILANDIA;2;1;2;1;2;4;3;4;3;3
mun0222;150450;150450 MELGACO;4;6;5;3;2;2;4;2;4;3
mun0223;150460;150460 MOCAJUBA;1;-;2;1;1;1;-;3;3;4
mun0224;150470;150470 MOJU;12;4;3;11;12;4;9;5;6;8
mun0225;150475;150475 MOJUI DOS CAMPOS;2;1;-;1;3;2;1;2;1;1
mun0226;150480;150480 MONTE ALEGRE;4;5;6;9;2;7;4;6;6;7
mun0227;150490;150490 MUANA;2;2;1;1;2;3;2;1;3;8
mun0228;150495;150495 NOVA ESPERANCA DO PIRIA;1;-;1;1;1;-;2;3;1;4
mun0229;150497;150497 NOVA IPIXUNA;-;1;5;1;1;3;1;1;-;2
mun0230;150500;150500 NOVA TIMBOTEUA;-;-;-;1;-;-;-;1;1;-
mun0231;150503;150503 NOVO PROGRESSO;2;6;5;5;2;1;1;-;8;-
mun0232;150506;150506 NOVO REPARTIMENTO;1;2;2;4;7;5;12;9;8;4
mun0233;150510;150510 OBIDOS;7;4;9;5;9;10;11;6;7;3
mun0234;150520;150520 OEIRAS DO PARA;3;4;1;4;2;4;4;3;-;3
mun0235;150530;150530 ORIXIMINA;9;15;14;13;11;10;12;5;11;13
mun0236;150540;150540 OUREM;1;2;-;-;2;-;2;3;6;-
mun0237;150543;150543 OURILANDIA DO NORTE;2;5;4;10;2;2;2;2;4;3
mun0238;150548;150548 PACAJA;1;3;3;4;3;4;6;5;4;4
mun0239;150549;150549 PALESTINA DO PARA;-;3;1;1;1;-;1;-;1;1
mun0240;150550;150550 PARAGOMINAS;12;4;9;13;14;13;17;16;21;15
mun0241;150553;150553 PARAUAPEBAS;12;17;16;22;24;32;25;29;12;31
mun0242;150555;150555 PAU D'ARCO;2;2;1;-;1;2;-;-;2;1
mun0243;150560;150560 PEIXE-BOI;-;-;-;1;-;2;-;-;-;-
mun0244;150563;150563 PICARRA;1;2;2;1;-;1;-;1;1;-
mun0245;150565;150565 PLACAS;1;1;3;2;-;2;-;1;2;1
mun0246;150570;150570 PONTA DE PEDRAS;2;2;-;-;2;3;3;1;6;5
mun0247;150580;150580 PORTEL;7;6;6;8;10;11;10;13;20;17
mun0248;150590;150590 PORTO DE MOZ;1;-;-;-;1;2;2;3;1;1
mun0249;150600;150600 PRAINHA;3;3;3;5;1;2;2;2;3;3
mun0250;150610;150610 PRIMAVERA;1;-;1;1;2;-;1;-;2;1
mun0251;150611;150611 QUATIPURU;1;-;-;-;-;1;-;-;-;-
mun0252;150613;150613 REDENCAO;4;4;20;14;8;16;16;11;11;7
mun0253;150616;150616 RIO MARIA;2;-;2;1;3;2;-;1;-;2
mun0254;150618;150618 RONDON DO PARA;3;6;3;4;2;2;1;2;1;3
mun0255;150619;150619 RUROPOLIS;2;1;3;2;1;1;-;1;4;8
mun0256;150620;150620 SALINOPOLIS;1;1;1;1;5;2;2;3;5;2
mun0257;150630;150630 SALVATERRA;-;-;2;-;-;3;1;-;2;4
mun0258;150635;150635 SANTA BARBARA DO PARA;2;-;-;4;1;2;1;4;1;2
mun0259;150640;150640 SANTA CRUZ DO ARARI;-;-;-;-;-;-;2;1;1;-
mun0260;150650;150650 SANTA IZABEL DO PARA;4;2;5;3;5;6;1;4;10;6
mun0261;150655;150655 SANTA LUZIA DO PARA;-;-;-;1;-;2;1;-;1;1
mun0262;150658;150658 SANTA MARIA DAS BARREIRAS;-;-;3;2;1;1;1;3;6;4
mun0263;150660;150660 SANTA MARIA DO PARA;4;5;2;3;2;1;2;3;2;3
mun0264;150670;150670 SANTANA DO ARAGUAIA;2;6;2;1;1;2;1;5;1;2
mun0265;150680;150680 SANTAREM;27;18;33;47;48;21;36;40;36;21
mun0266;150690;150690 SANTAREM NOVO;-;-;1;-;1;-;-;1;2;1
mun0267;150700;150700 SANTO ANTONIO DO TAUA;5;5;-;6;2;3;3;2;1;2
mun0268;150710;150710 SAO CAETANO DE ODIVELAS;2;1;1;2;-;2;3;2;3;1
mun0269;150715;150715 SAO DOMINGOS DO ARAGUAIA;1;3;1;3;-;1;2;2;2;2
mun0270;150720;150720 SAO DOMINGOS DO CAPIM;3;1;1;3;1;5;2;2;3;2
mun0271;150730;150730 SAO FELIX DO XINGU;7;2;6;2;1;6;2;3;3;7
mun0272;150740;150740 SAO FRANCISCO DO PARA;1;-;3;1;2;1;1;-;2;1
mun0273;150745;150745 SAO GERALDO DO ARAGUAIA;2;1;4;1;2;3;-;-;1;2
mun0274;150746;150746 SAO JOAO DA PONTA;2;1;1;1;1;1;2;1;-;1
mun0275;150747;150747 SAO JOAO DE PIRABAS;1;4;3;1;-;3;-;-;1;-
mun0276;150750;150750 SAO JOAO DO ARAGUAIA;-;2;3;1;1;1;-;-;1;1
mun0277;150760;150760 SAO MIGUEL DO GUAMA;6;5;6;3;5;10;6;6;7;9
